ano,id_municipio,grupo_idade,sexo,cor_raca,populacao_residente
2010,2913606,95 a 99 anos,Homens,Parda,28
2022,2913606,95 a 99 anos,Mulheres,Branca,30
2010,2913606,95 a 99 anos,Mulheres,Parda,46
2022,2913606,95 a 99 anos,Mulheres,Parda,60
2022,2913606,100 anos ou mais,Homens,Indígena,
2010,2913606,100 anos ou mais,Homens,Amarela,
2010,2913606,100 anos ou mais,Mulheres,Amarela,1
2022,2913606,0 a 4 anos,Mulheres,Preta,867
2010,2913606,0 a 4 anos,Homens,Preta,901
2010,2913606,0 a 4 anos,Mulheres,Branca,1533
2022,2913606,5 a 9 anos,Homens,Amarela,10
2022,2913606,5 a 9 anos,Mulheres,Branca,935
2010,2913606,5 a 9 anos,Mulheres,Indígena,202
2022,2913606,10 a 14 anos,Homens,Branca,1051
2022,2913606,10 a 14 anos,Homens,Parda,3620
2022,2913606,10 a 14 anos,Homens,Preta,1210
2010,2913606,10 a 14 anos,Homens,Preta,1528
2022,2913606,15 a 19 anos,Homens,Amarela,7
2022,2913606,15 a 19 anos,Homens,Preta,1560
2010,2913606,15 a 19 anos,Homens,Parda,4987
2022,2913606,20 a 24 anos,Mulheres,Parda,3698
2010,2913606,20 a 24 anos,Mulheres,Branca,1503
2022,2913606,25 a 29 anos,Mulheres,Amarela,15
2022,2913606,25 a 29 anos,Mulheres,Parda,3488
2010,2913606,25 a 29 anos,Mulheres,Indígena,162
2010,2913606,25 a 29 anos,Homens,Indígena,195
2022,2913606,25 a 29 anos,Homens,Indígena,255
2022,2913606,30 a 34 anos,Mulheres,Branca,1065
2022,2913606,30 a 34 anos,Homens,Branca,866
2022,2913606,30 a 34 anos,Mulheres,Preta,1655
2022,2913606,35 a 39 anos,Mulheres,Amarela,16
2022,2913606,35 a 39 anos,Mulheres,Preta,1911
2022,2913606,40 a 44 anos,Homens,Amarela,10
2022,2913606,40 a 44 anos,Mulheres,Preta,1854
2022,2913606,40 a 44 anos,Homens,Branca,1131
2010,2913606,40 a 44 anos,Mulheres,Branca,1245
2010,2913606,45 a 49 anos,Homens,Parda,3090
2022,2913606,45 a 49 anos,Mulheres,Indígena,282
2010,2913606,45 a 49 anos,Homens,Preta,1099
2010,2913606,45 a 49 anos,Homens,Indígena,106
2022,2913606,45 a 49 anos,Homens,Parda,3191
2010,2913606,45 a 49 anos,Mulheres,Branca,1172
2010,2913606,45 a 49 anos,Mulheres,Preta,996
2022,2913606,50 a 54 anos,Homens,Amarela,8
2010,2913606,50 a 54 anos,Mulheres,Amarela,40
2010,2913606,50 a 54 anos,Homens,Indígena,96
2010,2913606,50 a 54 anos,Homens,Parda,2692
2010,2913606,50 a 54 anos,Homens,Branca,993
2010,2913606,55 a 59 anos,Homens,Amarela,28
2010,2913606,55 a 59 anos,Homens,Indígena,81
2010,2913606,55 a 59 anos,Mulheres,Indígena,90
2022,2913606,55 a 59 anos,Homens,Branca,858
2022,2913606,55 a 59 anos,Mulheres,Preta,1134
2010,2913606,60 a 64 anos,Mulheres,Amarela,17
2010,2913606,60 a 64 anos,Homens,Indígena,60
2010,2913606,60 a 64 anos,Mulheres,Branca,665
2022,2913606,65 a 69 anos,Homens,Amarela,7
2010,2913606,65 a 69 anos,Mulheres,Parda,1267
2022,2913606,70 a 74 anos,Homens,Parda,1283
2022,2913606,70 a 74 anos,Mulheres,Branca,616
2010,2913606,70 a 74 anos,Homens,Branca,385
2010,2913606,70 a 74 anos,Mulheres,Branca,503
2022,2913606,75 a 79 anos,Homens,Branca,335
2022,2913606,75 a 79 anos,Mulheres,Parda,921
2010,2913606,75 a 79 anos,Mulheres,Parda,745
2010,2913606,75 a 79 anos,Homens,Branca,245
2010,2913606,80 a 84 anos,Mulheres,Branca,266
2010,2913606,80 a 84 anos,Mulheres,Indígena,25
2022,2913606,80 a 84 anos,Mulheres,Branca,345
2010,2913606,80 a 84 anos,Homens,Parda,352
2010,2913606,80 a 84 anos,Homens,Preta,149
2010,2913606,80 a 84 anos,Mulheres,Parda,478
2022,2913606,80 a 84 anos,Homens,Branca,239
2022,2913606,85 a 89 anos,Mulheres,Amarela,1
2010,2913606,85 a 89 anos,Mulheres,Preta,78
2022,2913606,90 a 94 anos,Homens,Amarela,
2010,2913606,90 a 94 anos,Homens,Parda,69
2022,2913606,90 a 94 anos,Mulheres,Branca,104
2010,2913606,95 a 99 anos,Mulheres,Amarela,
2022,2913606,95 a 99 anos,Mulheres,Amarela,
2010,2913606,95 a 99 anos,Homens,Amarela,
2022,2913606,95 a 99 anos,Mulheres,Indígena,6
2022,2913606,95 a 99 anos,Homens,Preta,18
2022,2913606,95 a 99 anos,Homens,Parda,22
2022,2913606,100 anos ou mais,Mulheres,Indígena,1
2010,2913606,100 anos ou mais,Homens,Branca,3
2010,2913606,100 anos ou mais,Mulheres,Parda,18
2022,2913606,0 a 4 anos,Homens,Amarela,3
2022,2913606,0 a 4 anos,Mulheres,Amarela,7
2010,2913606,0 a 4 anos,Homens,Amarela,72
2022,2913606,0 a 4 anos,Homens,Preta,869
2010,2913606,0 a 4 anos,Mulheres,Parda,4258
2010,2913606,5 a 9 anos,Mulheres,Parda,4660
2022,2913606,5 a 9 anos,Homens,Indígena,355
2022,2913606,5 a 9 anos,Homens,Preta,1137
2010,2913606,5 a 9 anos,Homens,Indígena,198
2010,2913606,5 a 9 anos,Mulheres,Branca,1501
2022,2913606,10 a 14 anos,Mulheres,Amarela,11
2010,2913606,10 a 14 anos,Homens,Amarela,73
2010,2913606,10 a 14 anos,Mulheres,Amarela,91
2022,2913606,10 a 14 anos,Homens,Indígena,390
2022,2913606,10 a 14 anos,Mulheres,Parda,3483
2010,2913606,10 a 14 anos,Mulheres,Preta,1467
2010,2913606,10 a 14 anos,Mulheres,Parda,5342
2022,2913606,15 a 19 anos,Mulheres,Indígena,318
2022,2913606,15 a 19 anos,Mulheres,Parda,3668
2010,2913606,15 a 19 anos,Mulheres,Branca,1418
2010,2913606,20 a 24 anos,Homens,Amarela,77
2022,2913606,20 a 24 anos,Mulheres,Preta,1740
2022,2913606,20 a 24 anos,Homens,Parda,3317
2010,2913606,25 a 29 anos,Mulheres,Amarela,118
2022,2913606,25 a 29 anos,Mulheres,Preta,1655
2010,2913606,25 a 29 anos,Homens,Parda,4473
2022,2913606,30 a 34 anos,Homens,Amarela,7
2010,2913606,30 a 34 anos,Mulheres,Preta,1616
2010,2913606,35 a 39 anos,Homens,Preta,1303
2010,2913606,35 a 39 anos,Homens,Amarela,53
2022,2913606,35 a 39 anos,Homens,Parda,3703
2010,2913606,35 a 39 anos,Mulheres,Preta,1223
2022,2913606,40 a 44 anos,Mulheres,Branca,1344
2010,2913606,40 a 44 anos,Mulheres,Indígena,124
2022,2913606,45 a 49 anos,Mulheres,Amarela,11
2022,2913606,45 a 49 anos,Mulheres,Branca,1060
2010,2913606,45 a 49 anos,Homens,Amarela,51
2022,2913606,45 a 49 anos,Homens,Branca,894
