ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,Depositado em caçamba de serviço de limpeza,30 a 34 anos,Preta,722
2022,2913606,Depositado em caçamba de serviço de limpeza,30 a 34 anos,Parda,1353
2022,2913606,Depositado em caçamba de serviço de limpeza,40 a 44 anos,Branca,393
2022,2913606,Depositado em caçamba de serviço de limpeza,65 a 69 anos,Parda,685
2022,2913606,Depositado em caçamba de serviço de limpeza,75 a 79 anos,Indígena,18
2022,2913606,Depositado em caçamba de serviço de limpeza,80 a 84 anos,Amarela,
2022,2913606,Depositado em caçamba de serviço de limpeza,80 a 84 anos,Preta,70
2022,2913606,Depositado em caçamba de serviço de limpeza,90 a 94 anos,Parda,42
2022,2913606,Coletado no domicílio por serviço de limpeza,0 a 4 anos,Amarela,7
2022,2913606,Coletado no domicílio por serviço de limpeza,5 a 9 anos,Parda,4785
2022,2913606,Coletado no domicílio por serviço de limpeza,30 a 34 anos,Branca,1547
2022,2913606,Coletado no domicílio por serviço de limpeza,35 a 39 anos,Amarela,18
2022,2913606,Coletado no domicílio por serviço de limpeza,35 a 39 anos,Preta,2566
2022,2913606,Coletado no domicílio por serviço de limpeza,45 a 49 anos,Indígena,232
2022,2913606,Coletado no domicílio por serviço de limpeza,65 a 69 anos,Indígena,107
2022,2913606,Coletado no domicílio por serviço de limpeza,85 a 89 anos,Amarela,1
2022,2913606,Coletado no domicílio por serviço de limpeza,95 a 99 anos,Preta,31
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",15 a 19 anos,Parda,114
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",15 a 19 anos,Indígena,27
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",25 a 29 anos,Amarela,1
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",60 a 64 anos,Preta,37
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",65 a 69 anos,Indígena,7
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",70 a 74 anos,Branca,11
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",70 a 74 anos,Amarela,
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",75 a 79 anos,Preta,8
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",75 a 79 anos,Parda,22
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",80 a 84 anos,Branca,4
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",90 a 94 anos,Amarela,
2022,2913606,Coletado,25 a 29 anos,Parda,6037
2022,2913606,Coletado,30 a 34 anos,Parda,6108
2022,2913606,Coletado,30 a 34 anos,Amarela,15
2022,2913606,Coletado,55 a 59 anos,Branca,1731
2022,2913606,Coletado,60 a 64 anos,Amarela,4
2022,2913606,Coletado,60 a 64 anos,Preta,1813
2022,2913606,Coletado,75 a 79 anos,Preta,522
2022,2913606,Coletado,75 a 79 anos,Indígena,69
