id_municipio,populacao_residente,area_unidade_territorial
4201406,71922,302
3300902,14616,558
4113205,45003,2094
2921609,7996,2094
5220603,22245,2350
3155603,28271,3118
2204550,4276,3118
5000252,4537,4398
1501451,18099,4398
1200393,10735,6446
2502201,2286,47
4312153,4859,47
3105301,5943,47
2405207,4746,303
4103008,4558,303
2307908,10846,303
1506112,11524,303
3303005,26881,303
3553955,14882,303
4113254,5600,559
3100500,8943,815
2303931,12113,815
3119500,8200,815
3164704,71796,815
3170909,18840,815
4108502,11062,1071
4109609,42062,1327
1703305,4038,1327
5106232,16352,1327
2102309,22455,1583
2110278,13949,1583
1304237,19247,6447
5107875,28944,13615
2510105,9724,48
2415008,3174,48
2807303,3274,48
3162955,26090,48
3118007,52890,304
3109709,11883,304
4314068,3983,304
3512605,4280,304
4315404,9738,304
2607653,34935,304
4104105,7508,304
4124905,5586,304
3103702,8048,304
2807105,42578,560
4318507,25443,1072
2209658,5572,1072
1706001,5331,1584
5213509,6692,3120
1400407,13986,6960
3516309,165139,49
3527009,7014,49
4309555,5378,49
2604403,12984,49
3154705,4080,49
3503505,3577,305
3544608,5112,305
2807501,12012,305
2310209,38980,305
3300936,13847,305
3541406,225668,561
4213401,10649,561
4211108,7736,561
3122470,3697,817
2209872,5522,817
2912202,20785,817
2102101,34120,1073
1713700,2396,1073
3556958,1794,50
4315149,3077,50
2501534,4762,50
4210209,3214,306
3513405,74961,306
3301207,17198,306
3130804,2580,306
3544905,11411,306
3141504,5606,306
3160207,3915,306
1505403,17855,562
2413409,7597,562
3129707,10948,562
3553302,21435,562
4117800,13033,818
4322004,27498,818
2205706,30641,1074
2111904,10238,1074
1721109,7459,2610
2610400,18612,2610
3109402,23910,7218
1400308,18095,12338
2603454,147771,51
3304110,20373,51
2400406,2946,51
3301876,27920,51
4212700,6716,307
1720804,10830,307
3550605,79484,307
4309951,3723,307
5214804,2101,307
2606804,115196,307
2503704,63239,563
4128534,9681,819
3128006,32244,1075
2205565,4995,1331
