id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Data de nascimento,Homens,21 anos,21.0,20 a 24 anos,1011
2913606,Idade presumida,Homens,22 anos,22.0,20 a 24 anos,281
2913606,Data de nascimento,Mulheres,23 anos,23.0,20 a 24 anos,1171
2913606,Data de nascimento,Mulheres,24 anos,24.0,20 a 24 anos,1172
2913606,Data de nascimento,Homens,26 anos,26.0,25 a 29 anos,934
2913606,Data de nascimento,Homens,3 meses,0.25,0 a 4 anos,74
2913606,Idade presumida,Homens,32 anos,32.0,30 a 34 anos,254
2913606,Idade presumida,Mulheres,34 anos,34.0,30 a 34 anos,194
2913606,Idade presumida,Mulheres,35 anos,35.0,35 a 39 anos,317
2913606,Data de nascimento,Homens,36 anos,36.0,35 a 39 anos,1121
2913606,Data de nascimento,Mulheres,37 anos,37.0,35 a 39 anos,1322
2913606,Data de nascimento,Homens,37 anos,37.0,35 a 39 anos,1105
2913606,Idade presumida,Homens,41 anos,41.0,40 a 44 anos,214
2913606,Data de nascimento,Mulheres,42 anos,42.0,40 a 44 anos,1296
2913606,Idade presumida,Homens,44 anos,44.0,40 a 44 anos,235
2913606,Idade presumida,Homens,45 anos,45.0,45 a 49 anos,309
2913606,Idade presumida,Mulheres,48 anos,48.0,45 a 49 anos,210
2913606,Data de nascimento,Mulheres,49 anos,49.0,45 a 49 anos,1090
2913606,Data de nascimento,Mulheres,50 anos,50.0,50 a 54 anos,1068
2913606,Idade presumida,Homens,50 anos,50.0,50 a 54 anos,379
2913606,Idade presumida,Homens,51 anos,51.0,50 a 54 anos,162
2913606,Data de nascimento,Homens,52 anos,52.0,50 a 54 anos,868
2913606,Data de nascimento,Homens,53 anos,53.0,50 a 54 anos,866
2913606,Idade presumida,Mulheres,57 anos,57.0,55 a 59 anos,127
2913606,Idade presumida,Mulheres,58 anos,58.0,55 a 59 anos,163
2913606,Idade presumida,Homens,61 anos,61.0,60 a 64 anos,110
2913606,Idade presumida,Homens,62 anos,62.0,60 a 64 anos,175
2913606,Idade presumida,Mulheres,63 anos,63.0,60 a 64 anos,125
2913606,Data de nascimento,Homens,63 anos,63.0,60 a 64 anos,736
2913606,Idade presumida,Mulheres,65 anos,65.0,65 a 69 anos,197
2913606,Idade presumida,Mulheres,66 anos,66.0,65 a 69 anos,122
2913606,Idade presumida,Homens,66 anos,66.0,65 a 69 anos,114
2913606,Idade presumida,Homens,69 anos,69.0,65 a 69 anos,74
2913606,Data de nascimento,Mulheres,7 meses,0.58333333333333337,0 a 4 anos,81
2913606,Data de nascimento,Mulheres,73 anos,73.0,70 a 74 anos,377
2913606,Idade presumida,Homens,74 anos,74.0,70 a 74 anos,64
